,16192690
Colorado Rural Electric Association,20
the National Propane Gas Association,19
Yes for Affordable Housing,19
VOTE HEATHER CARTER SENATE,19
Rene “Coach P” Plasencia, Republican, for State Representative,,19
Friends of Sheriff Todd Gibson,19
Friends of Jamie Santora,19
Elect Kathy Hoffman for Superintendent; Authorized by Kathy Hoffman,19
Collier for Lt. Governor ,19
 the committee BackUS-AZ,19
THE REPUBLICAN PARTY OF KENTUCKY. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE COMMITTEE. 502.875.5130,18
Jonathan Lewis for Congress 2018,18
The Tikvah Fund,17
State Innovation Exchange,17
SAVE Action PAC,17
Karen Mayne for Utah Senate 5,17
Joe Brennan - 4th District Chemung County Legislator,17
Friends of My-Linh (D) 11900 NE 1st Street, Suite 300 Bellevue, WA 98005,17
Conservatives for Toma,17
Casey Cagle for Governor,17
the Alliance for Michigan Power,16
Jeff Jackson for NC Senate,16
Interwest Energy Alliance,16
Fryer for Arizona. Authorized by Kelly Fryer.,16
Austin for Anchorage, P.O. Box 92089, Anchorage, AK 99509,16
the United Association and not authorized by any candidate or candidate's committee.,15
Stewart for Senate, Inc. ,15
SEIU Healthcare Illinois & Indiana,15
Friends of Whitver,15
EMILY's List, www.emilyslist.org, and not authorized by any candidate or candidate's committee.,15
Brad Raven,15
and approved by the Committee to Elect Dean Mosley, nonpartisan candidate for judge. Ninth Judicial Circuit (Orange and Osceola) -Group 41.,14
SEIU 775,14
Political advertisement paid for by the campaign to elect Debbie Wood  3011 20th Avenue Valley, Al. 36854,14
Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ,14
Friends of Saif Rehman, Sana Rehman, Treasurer.,14
Friends of Byron Macfarlane; Charles Bubeck, Treasurer,14
Evan Glass for Montgomery County Council ,14
Equity Forward Action,14
Committee to Elect Marty Campbell,14
Paid for by Chesser for Assessor,13
NYS Laborers' LECET,13
Jennie Lou Leeder for U.S. Congress,13
Friends of Jonathan Porter; Brenden Carlson, Treasurer,13
Dominic For Senate, Michele Berardo, Treasurer. Approved by Dominic Rapini ,13
Friends of Richard Gottfried,12
Friends of Mark Pinsley,12
Friends of Hazel Gibson,12
Friends of Ari Espinal,12
Friends of Alice Cain; Jenni Rooney, Treasurer,12
Emily Sirota for Colorado,12
Cris Dosev for Congress,12
Committee to Elect Rob Davidson,12
CTE Norona for Mayor,12
 the Committee to Elect Jon Ford,12
The services and/or goods described herein are funded, in part, with Federal funds awarded by the U.S. Department of Education under the Vocational Rehabilitation (VR), and/or Supported Employment Services programs. For purposes of the VR program in Nevada, the Federal VR grant paid 78.7 percent of the related costs. In Federal fiscal year (FFY) 2017, Nevada,11
Polis for Colorado,11
New York State SRCC,11
Matt Longjohn for Congress,11
Kaump for Wisconsin,11
Friends of Scott Goldberg, Andre Smotherman, Treasurer,11
Delaware County GOP,11
Committee To Elect Victoria McKay Kennison,11
 Friends of Darren Gantz 2018,11
the North Carolina Democratic Party and Committee to Elect Joe Webb NC Senate 6.,10
Vote Tim Bedwell,10
Tim Bjorkman for South Dakota, Dr. Tom Ortman, Treas.,10
Regan for Tulsa,10
Montera for CU Regent,10
McLeod-Skinner For Oregon,10
Friends of Ben Shnider. Ashish Dhru, Treasurer.,10
Friends for Yvanna Cancela,10
David Trone For Congress, Inc. ,10
Texans for Chris Paddie,9
Scamazon,9
Planned Parenthood of Advocates of Michigan | PO Box 15041, Lansing, MI 48901,9
Friends of Nate Loewentheil, Guy Tawney, Treasurer.,9
English Cameroon for a united Cameroon,9
the committee to elect Kendra Kenyon, Diane Westerberg, Treasurer,8
Vance Aloupis, Republican, for State Representative, District 115.,8
Rory's Committee,8
Raising Colorado,8
New York State Laborers' Union,8
Medenwald for North Dakota,8
Matt Spritz, Republican, for State Representative,8
Kristin Robbins Volunteer Committee,8
Jonathan Boos For State Representative Campaign,8
Friends of Josh Green,8
Eric Eliason for Congress,8
Diane Black for Governor,8
Cathy Costello for Labor Commissioner,8
Cartwright for Congress.,8
Traci Stephens,7
Political advertisement paid for and approved by Bob Doyel, Democrat, for Florida Senate District 22.,7
No New Oklahoma Taxes,7
Kathy Lewis, Democrat, for Florida State Senate District 20,7
Friends of Jonathan Boniface; By Authority of Kristofer P. Cubello, Treasurer,7
Friends of Gina Raimondo.,7
Friends of Adrian Plank,7
Drew Buchanan for Pensacola Mayor ,7
Community Committee to Elect Robert Cohen,7
Committee to Elect Keri Ingle, Kenneth Ingle, Treasurer,7
Committee to Elect Joe Perkins for Circuit Judge, Group 25.   ,7
Chuck Brannan, Republican for State Representative District 10.,7
Bill Lee for Tennessee, Inc. - Fred Decosimo, Treasurer,7
the Greater Wisconsin Political Fund, not authorized by any candidate or candidate’s agent or committee. ,6
the Communications Workers of America,6
the Committee to Elect Vivianne Del Rio for Miami-Dade Circuit Court Judge, Group 14,6
Vote Brandon Cox,6
Preckwinkle for President,6
Parisi for Mayor,6
Palmetto Gun Rights,6
Navarrete for Senate. Authorized by Tony Navarrete.,6
Melanie Hill for State Board of Education District 2, Treasurer Kelli Pylant, 109 Princeton Drive, Dothan, AL 36301,6
Matt Haggman for Congress,6
Martinez for Ward 4 Campaign, 1772 Hewitt Avenue, St. Paul, MN 55104,6
Friends of John Pfeiffer 2018,6
Friends of Clarence Lam; Pat Payne, Treasurer.,6
Elect Cardin, Steven M. Gelblum, Treasurer,6
Defend Arizona. ,6
Clean Power Virginia ,6
Citizens For Ben Fu 2018,6
Caleb Frostman for State Senate,6
the Committee to Elect Elisabeth Espinosa, and the candidate, Non-Partisan, for Miami-Dade Circuit Court Judge (11th Judicial Circuit), Group 8,5
Weston Lindemann,5
Viviana Janer, Democrat, for Osceola County Commission, Dist. 2,5
Scott Dianda for State Senate,5
Peter Sage, the author of UpClose with Peter Sage, 305 Harvard Place, Medford, Oregon 97504. Contact me at peter.w.sage@gmail.com ,5
Luke Thomas,5
Jonathon Hill for SC House District 8,5
House Majority PAC,5
Friends of James Howard, William C. Woodcock, Treasurer,5
Friends of Chris Carr,5
Families For Nathan Dahm,5
Ducey for Governor ,5
Cournoyer for Senate,5
Aghogho Edevbie for Progress, P.O. Box 442506, Detroit, MI 48244,5
the official office of Congressman Young,4
the Committee to Elect Melissa Gravitt for Circuit Court Judge, Tenth Circuit, Group 10,4
With Honor Fund, Inc.,4
When We All Vote,4
Urban Drainage and Flood Control District,4
Truth in Annapolis,4
The Hospital & Healthsystem Association of Pennsylvania,4
The Committee to Elect Petrus/Sanes for Governor & Lieutenant Governor ,4
The Committee To Elect Sheila Brillson,4
Texans for Senator John Cornyn, Inc.,4
Sevigny for Congress,4
Reliable Energy Policy,4
Ralph Norman for Congress,4
Phil Weiser for Colorado.,4
Paid for by the Committee to Elect Brandy Hambright, Circuit Court, PO Box 1901 Mobile, AL 36633,4
New Mexico Oil & Gas Association,4
Monmouth County Democrats, 106 Apple St, Ste 200D, Tinton Falls, NJ 07724,4
Koop for Texas,4
Keystone Energy Efficiency Alliance (KEEA),4
Friends of Sam Bell,4
Friends of Lammis Vargas,4
Friends of Joel Rubin - Samuel Agger, Treasurer,4
Friends of David Ryden. Taylor Gomez, Treasurer.,4
Equality Texas.,4
David Smith, Republican, for State Representative,4
Dane Eagle for State Representative. ,4
Arizona for Latino Leaders in Education ,4
Alan McMillan for Escambia County Commissioner - District 2,4
AFSCME Council 28 (WFSE),4
and authorized by Committee to Elect Aaron Ford,3
Trumpiness Cult 45,3
Treasure Coast Conservatives,3
The Kevin Lopez Campaign,3
Smith for Senate,3
SC Club for Growth,3
Robert Nichols for Texas Senate,3
Paid for by Seth Levy for District Attorney, Chris McCarthy Treasurer, P.O. Box 31, Brunswick, ME,3
Paid by Dave Piech, Republican for Santa Rosa County Commissioner, District 4. ,3
Nicks for County Commission, Jim Hand, Treasurer,3
Maria Markhasin-Weekes for Broward County Circuit Court Judge, Group 46, Non Partisan,3
MAST FOR CONGRESS,3
MARIA ELVIRA SALAZAR FOR CONGRESS,3
Linda Devore for House 44 Committee,3
Kathleen Rice for Congress,3
John Upchurch for Congress,3
JB for Governor,3
International Assn of Firefighters Local 1784 PAC,3
Friends of Matt Gaetz,3
Friends of Jim Mathias. Donna Richardson West, Treasurer,3
Friends of Jay Edwards,3
Friends of Dave Ernst; Chris Hendrix, Treasurer ,3
Friends of Aaron Regunberg,3
Florida Republican Senatorial Campaign Committee,3
FRIENDS OF S. ASHLEY NICKLOES,3
Eric Stephenson for Central Committee, Norah Salamone, Treasurer,3
David Azad for County Commissioner,3
Committee to Elect Judy McCullough for Senate,3
Committe to Elect Dan Caulkins,3
Collins for SC House District 5,3
Collene Lamonte for Senate • PO Box 227, Montague, MI 49437,3
Clean Energy Jobs Ohio,3
Citizens for Saladino,3
Chuck Brannan, Republican for State Representative.,3
Chris Wilhelm for County Council,3
Children's Action Alliance,3
Cheryl Grieb, Democrat, for Osceola County Commission District 4,3
CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,3
Blair for Montgomery,3
the Invest in Education Committee. Not authorized by any candidate.,2
the ASPCA,2
lpac,2
Zack Fields for State House ,2
Will Freeman for SC House 110,2
Tyler for City Council,2
The New State Solution,2
The Commonwealth Foundation,2
The Committee to Elect Luisa,2
The Committee to Elect James Oscarson, PO Box 1600, Pahrump, NV 89041,2
Texas Association of Health Plans,2
Summer in the fall,2
Steve Wolgast for County Commissioner,2
Steve McCarron,2
State Representative Todd Stephens,2
Stand for Children Leadership Center,2
Rob O'Brian for State Senate Committee, Grant Schwartz, Treasurer,2
Re-Elect Charles Allen for Ward 6, Pat Johnson, Treasurer, 1530 D Street, NE Washington, DC 20002,2
RNY Initiative,2
Perspective Wealth Planning,2
Paid for by Clay Padgett for congress LLC.  Approved by Clay Padgett. Military Images and Information Do Not Imply Endorsement by DoD or Service Branch.,2
Osmack for Missouri,2
NYS SRCC,2
Mike Melendez Committee,2
Menefee for Congress,2
Marcus Ferrell for District 24,2
Manchin for West Virginia, Jack Rossi, Treasurer,2
Louisville-Jefferson County Democratic Party,2
Kevin Walsh for Kyrene School Board,2
Kay Ivey for Governor, Inc.,2
KYI-a grassroots powered PAC,2
Javier Manjarres for Congress,2
Ian Shetron for State House | PO Box 60 | Flushing, MI 48433,2
Friends of William Tanoos,2
Friends of Rodney J. Strange,2
Friends of Nino Mangione. Lawrence Hineline, Treasurer.,2
Friends of Meredith Wellington,2
Friends of Marisabel Cabrera,2
Friends of Hiruy Hadgu, Aman Hadgu, Treasurer,2
Friends of Dru Kanuha,2
Friends of Derek Young for Pierce County Council,2
Friends of Derek Kawakami: Chair – Scott Yagihara – PO Box 3136, Lihue, HI 96766 – (808) 652-5532,2
Friends of Dennis Hof | 2711 E. Highway 95, Amargosa Valley, NV,2
Friends of Chris Thomas for Probate Court Clerk,2
Friends of Chip Evans,2
Friends for Sue Walker,2
Elect Ryan Berman - 2525 S. Telegraph Rd, Ste 100, Bloomfield Hills, MI 48302,2
Elect Deborah Kafoury,2
Donielle M. Lovelle For State Representative,2
Craig Ford Campaign,2
Committee to Elect Laura Cromwell,2
Citizens Clean Elections Commission,2
Christine Drazan for State Representative,2
Cathy McMorris Rodgers for US Congress,2
Catalyst Oklahoma,2
the Louisiana Chemical Association,1
Yost for Assembly,1
Vipond for Congress,1
Vegan News,1
The Prinzivalli Committee,1
The Candidate,1
Taylor Sappington For Change,1
Supporters of Jack D. Franks,1
Strickland for Georgia,1
State Senator Margaret O'Brien,1
Savage for Mayor Campaign,1
Sarah Godlewski for State Treasurer,1
Rosen for Nevada,1
Radinovich for Congress,1
Progress Tomorrow, Inc. Not authorized by any candidate or candidate's committee.,1
Peter Smith | Independent for Colorado D32,1
Pennsylvania Citizens Against Nuclear Bailouts,1
Patriots for Steve Dakopolos,1
Park for Platte (Park4Platte), Wanda Park, Treasurer,1
Oral Health America,1
New York State Senate Republican Campaign Committee,1
Maryland REALTORS® Political Fund, Michael Cerrito Treasurer,1
Livingston County Progressives,1
Kulkarni for Congress,1
Keyes for Wisconsin, Treasurer:  David Luebke,1
Kaczmarek for Sheriff Committee ,1
Jefferson County Democratic Party,1
Hayward for House,1
Friends of Todd Blackburn 2018,1
Friends of Sarah Elfreth; Michael G. Miller, Treasurer,1
Friends of Sam Searcy,1
Friends of Sam Givhan, 100 Washington St., Huntsville, AL 35801,1
Friends of Matt Buehler,1
Friends of Marty Golden,1
Friends of Luke Wochensky,1
Friends of Lee Hamilton, P.O. Box 68, Dadeville, AL 36853.,1
Friends of LaVelle Compton for House District 90,1
Friends of Kevin Mack, Michael Mack, Treasurer,1
Friends of Jeremy Shaffer,1
Friends of Derek Kawakami PO Box 3136, Līhu`e HI 96766,1
Friends of Daniel Chae 2018,1
Friends of Ben Queen,1
Friends of Amy Blank,1
Friends for Steve Sisioak,1
FRIENDS OF JARED LEMMONS 2018,1
Committee to Elect Mark Melrose,1
Committee to Elect Jared Golden,1
Committee to Elect Darin,1
Citizens for Maldonado,1
Chris Pappas for Congress,1
Chris Elliot for State Senate,1
By Authority: Maryland House Democratic Caucus Committee; Gail E. Smith, Treasurer. ,1
Barve for Maryland,1
Amira Fox, Republican for State Attorney 20th Judicial Circuit,1
AFSCME Nevada,1
the Western Mass Recovery Learning Community,0
the Westchester-Playa Democratic Club. Not authorized by any candidate or candidate's committee. FPPC 1299840, FEC C00437079.,0
the Westchester-Playa Democratic Club.,0
the Vincent Committee.,0
the Oakland Education Association PAC, ID# 1345259,0
the North Carolina Democratic Party. Authorized by Ric Vandett for NC Senate,0
the North Carolina Democratic Party and Committee to Elect Terri LeGrand.,0
the Kentucky Democratic Party,0
the Keith Ellison for Attorney General committee, PO Box 80824, Minneapolis, MN 55408,0
the Committee to Elect Zaragoza for I.I.D. Director Division #5 2018,0
the Committee to Elect Negrete4Judge2018 (ID#1402689),0
the Committee to Elect Mike Yin,0
the Committee to Elect Michelle Ciccolo.,0
the Committee to Elect James Ohrenschall,0
the Colorado Democratic Party,0
the Claremont Institute.,0
the California Democratic Party,0
the Brownsberger Committee,0
reelectsheriffmikelowell,0
getVokl,0
donors to Swing Left Marin,0
a US citizen,0
Zucker for West Virginia,0
Yvanna Cancela for Nevada,0
Yuko Social LLC,0
Yes on 10 - a Coalition of Teachers, Nurses, Seniors and Renters for Affordable Housing, Sponsored by AIDS Healthcare Foundation and ACCE Action. Committee major funding from AIDS Healthcare Foundation, AFSCME Local 3299 Issues Committee, and California Nurses Association.,0
Yazmín Llamas-Morales for Martinez Mayor 2018,0
Xtinctio,0
Working Families Party,0
WomenStrong International,0
Wolf PAC. This message has been authorized by Wolf PAC, 6230 Wilshire Blvd Suite 140, Los Angeles, CA 90048, David Koller, Treasurer. This message has not been authorized or approved by any candidate, candidate's committee, or ballot issue committee.,0
Willie Gray for AL House 102,0
Will Robinson, Republican, for State Representative,0
Wildlife Conservation Network,0
White Dove Projects,0
What you can do NOW,0
West Campaign,0
Welcoming San Diego,0
WeLoveTrump,0
We Are Sikhs,0
Washington Speakers Bureau,0
Walden for Congress Inc.,0
Vote Demnlus Johnson III for City Council 2018 FPPIC ID: 1404702,0
Voices for Affordable Health,0
Vivian Romero for Montebello City Council | ID# 1359706,0
Vince Juaristi,0
Vern Nelson, publisher, Orange Juice Blog,0
VerifiKado LLC - We assume responsability for everything we publish under the VerifiKado brand.,0
VOLK FOR CITY COUNCIL,0
Upend, Inc.,0
United States Association for UNHCR,0
Union Workers Have Rights ,0
UniBeacon Group,0
Understanding Lead Pigment Litigation,0
US Energy Authority,0
UDW The Home Care Providers Union,0
Twinkle for Alabama,0
True Science Holdings, LLC.,0
Trent for Albany County Attorney,0
Together We Thrive,0
Tina Davis for Senate,0
Tim Meinken for Healdsburg City Council,0
Tim Greimel for Congress,0
Tiffany Willis,0
ThoughtFull Enterprises, Inc.,0
This page,0
This Page,0
Theresa Gasper for Congress,0
The Years Project Action Fund,0
The Windsor/North County Democratic Club,0
The Straw Poll Report,0
The Simple Life Store,0
The Rights Party,0
The Right Way,0
The Resistance Report,0
The Putnam Beat (A,D.S),0
The Plastic Shark,0
The People's Campaign to Elect Lewis Conway Jr for District 1 ,0
The Northwest Accountability Project,0
The Niskanen Center,0
The Markey Committee,0
The Independent Republicans of Wyoming, a registered 501(c)(4). The Independent Republicans of Wyoming is not affiliated with any political campaign and this website was not authorized by any candidate or candidate's committee.,0
The Fourth Goal,0
The Fortune Society,0
The Federal Practice Group,0
The Daley Grudge/Sherry Daley,0
The Committee to Elect Scott Bailey for Folsom City Council 2018 ID # 1407711,0
The Committee to Elect Paul Nimsuwan,0
The Committee to Elect Michele Oberholtzer for State Representative,0
The Committee to Elect Julie Jordan,0
The Committee to Elect Jennie Sherwood,0
The Committee To Elect Lisa Ring,0
The Committee To Elect Dawn Barlow For Congress,0
The Claremont Independent,0
The Beat of Life,0
The #News,0
Tea Party Majority Fund,0
Tarnas for State House, P.O. Box 6882, Kamuela, HI 96743,0
Targeted Technologies LLC,0
Tandem Properties,0
Tammy Baldwin for Senate,0
TLR,0
THE TRUMP NETWORK, LLC. ,0
TAS Apparel,0
T-Mobile Workers United,0
T Love Inc,0
Suzanne Harrison for House,0
Sustainable Politician Project,0
Susie Lee for Congress,0
Susan Ellenberg,0
Support The 2nd Amendment,0
Support Shirts R-Us ,0
SupChina,0
Sunny Park for Buena Park  FPPC Campaign ID No.1397511,0
Sudan Relief Fund Inc.,0
Stutts for Senate P.O. Box 1014 Tuscumbia, AL 35674,0
Stuart Shapiro,0
Stop the Dump,0
Stew James Stewart,0
Steve Parker,0
Steve Morris for Council : 4333 Bailey Lake Drive, Woodbury Mn 55129,0
State Attorney Andrew Warren,0
Stand for Salmon,0
StaffDNA,0
Stabenow for U.S. Senate,0
Staance, an open community on a mission to bring transparency to political polling,0
South Pasadena Public Services Committee 2018 — No on N, FPPC# 1406796.,0
South Florida Wildlands Association,0
Soi Dog Foundation,0
Sofia Rubalcava for Ventura City Council District 1,0
Social Math Productions LLC,0
Smashbutton Media LLC,0
Smart Politics,0
Sitrep: China, LLC,0
Sinasohn for Board of Education 2018 - FPPC #1401497,0
Silvio Palermo for Sheriff,0
Sheila Johnston for West Sacramento City Council,0
Shaun Lee O'Sullivan,0
Share Kiser,0
Shannon Beckham for School Board,0
Serrano for city council 2018 #1408438,0
Senior Lifestlye Improvement Inititive ,0
Senior Lifestlye Improvement Inititive,0
Senator Scott Wilk,0
Sekhmet Liminal Press, LLC,0
Search Conservative,0
Save the Turtles,0
Save the Children Action Network ,0
Sarah Butler for CCC Bd of Ed 2018,0
Santa Fe Hills - San Marcos, CA,0
Santa Clara County Democratic Party,0
Sand for North Dakota - Chris Hanson, Treasurer,0
San Leandrans for Great Schools - Yes on I,0
San Francisco Community Housing Act (FPPC# 1405735),0
San Diego Rapid Response Network,0
San Diego County Gun Owners PAC | P.O. Box 124667, San Diego, CA 92112 | This advertisement was not authorized or paid for by any of the candidates for these offices or a committee controlled by any of the candidates.,0
San Diego County Democratic Party,0
San Antonio First PAC,0
Sam Joshi for Council,0
Sally Siegrist for Indiana State Representative District 26,0
Sacramento Take Back the Night,0
SEIU Local 121RN,0
SEIU California,0
SEIU,0
SC Alliance To Fix Our Roads,0
Ryan Bundy for Governor ,0
Russell For State Rep 2018,0
Rural Progress PAC,0
Rubicon Programs, Inc.,0
Rotary Club of El Dorado Hills,0
Ross Spano for Congress,0
Rocky De La Fuente for Senate 2018,0
Robin Crossan,0
Robert Trimble for Anaheim City Council District 2 Campaign Committee,0
Robert Scantlebury for Council District 4,0
Rising American Electorate,0
Right Call Media LLC,0
Richard Chancy LLC,0
Restore the Mississippi River Delta,0
Responsible Leadership NM,0
Republican Party of Sacramento County,0
Regina E. Cobb 2018 ,0
Redneck Nation,0
Realtor.com,0
Re-Elect Erik Peterson for Huntington Beach City Council 2018,0
REGULATED FUNDS BY MICHIGAN PLANNED PARENTHOOD VOTES SUPER PAC, P.O. BOX 15041, LANSING, MI 48901. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.,0
Quorum Analytics, Inc.,0
Proud Digital Media,0
Priorities USA Action. Not authorized by any candidate or candidate's committee.,0
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,0
Premiere Collectibles,0
PowerLabs,0
Population Connection,0
Pol. Ad Texans for Greg Abbott,0
Ploughshares Fund,0
Phone2Action,0
Peter Hernandez for San Benito County Board of Supervisors District 3 FPPC ID #1404041,0
Personal Liberty,0
Persian Vote Project. Not affiliated with any candidate, political party, corporate sponsors, or interest groups.,0
People for Farnsworth,0
Pay Our Interns,0
Paul Soglin for Governor,0
Paul Moya For Congress,0
Paul Carlson,0
Patriots United for Freedom PAC and not authorized by any candidate or candidate’s committee,0
Patriot Place, a non-profit corporation,0
Partnership for Working Families,0
Paid for by Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Major funding by H.G. Fenton Company and Sudberry Properties.,0
Paid for by Myel for School Board 2018. Committee ID #140136,0
Paid for by Living Wage for Educators and United Educators of San Francisco - Yes on G. ,0
Paid for by Jeff Sheehy for Supervisor 2018. Financial disclosures are available at sfethics.org.,0
Paid for by Friends of SDSU, a coalition of SDSU alumni, business and community leaders. Major funding by Jack McGrory and Robert Payne.,0
Paid for by Friends of Copey Grantham,0
Overworked Moms,0
Our Big Lake,0
Oscar Moreno JR,0
Orinda Community for Excellent Schools – Yes on E & I. FPPC# 1410598.,0
Organizing for Action,0
Orange County Health & Life Insurance,0
Opportunity First,0
Open Doors USA,0
One Vote at a Time. Not authorized by any candidate or candidate's committee.,0
Oklahomans for Mick Cornett 2018,0
Oh the Humanitees,0
OD Action,0
Nuno for Manteca City Council 2018,0
Not My NRA,0
Nicole James,0
Nick Exline For STPUD Board,0
Next 10,0
Newton for Fair Process,0
New Yorkers Together. This communication was not expressly authorized or requested by any candidate or by any candidate's political committees or any of its agents.,0
New York State United Teachers,0
New York Republican Assembly Campaign Committee,0
New Mexico Working Families Party PAC,0
New Mexico Voices for Children,0
New American Economy,0
Nevadans for Steven Horsford,0
National Media Distribution Services,0
Nathaniel Gray,0
Nathan Evershed for District Attorney,0
Nathan Berning,0
NAACP Legal Defense Fund,0
Morgan Hill Chamber of Commerce,0
Moon Online Sales,0
Montanans for Tester,0
Molle & Alice,0
Molekule,0
Modern Medicaid Alliance,0
Mitchell Blatt, Political Columnist,0
Mike Sannella for San Marcos City Council,0
Mid Atlantic LECET,0
Michigan League of Conservation Voters,0
Michael Melillo for SJUSD Trustee Area 4 2018,0
Michael McConnell.  Not authorized by a candidate or candidate’s controlled committee.,0
Mercy Corps,0
Mercer Co Democratic Party,0
Menendez for Senate,0
Mendelson for Chairman 2018,0
Melanie Nutter for BART Board 2018,0
Megan Crawford for PVPUSD School Board 2018,0
Me,0
McCready for Congress,0
Matthew William Guerra,0
Matt Zerrusen,0
Matt Vaca Sams for Better Schools and Brighter Futures,0
Mary Throne for Governor,0
Marty Bates for Ventura County Board of Education,0
Martin for Arizona,0
Martin Jackson,0
Martin Harry Campaign,0
Marta Cruz for Cloverdale,0
Marla Livengood for Congress 2018,0
Mark DeShong,0
Mariah Phillips for Congress,0
Marathon Productions, LLC,0
Maple Heights African American Gazette,0
Mainers for Accountable Leadership PAC,0
Maggie's List, a Political Action Committee,0
MAGA and Trump Supporters,0
Luetkemeyer for Senate  Al Landes, Treasurer,0
Louisiana Association of Educators,0
Logan Lynn Music,0
Livermore Parents,0
Little Feminist Book Club,0
Little Dictator Game,0
Lion Recovery Fund,0
Linda Wade 4OK State Senate Fund 2018,0
Linda Breen for Carlsbad City Council D1,0
Lincoln Unified Teachers Political Action Fund,0
Liberty or Death Project,0
Liberty Clothing Co.,0
Lemony Tree,0
Left Over Rights LLC, an independent grassroots movement,0
League of Women Voters of Santa Barbara,0
LeadJig,0
Law Office of Robbi Abrams Cook,0
Lauren Doherty for Allen City Council Place 3,0
Laura Parmer-Lohan for San Carlos City Council · FPPC #1403049,0
Latino Tax Professionals Association,0
Laguna Beach Democratic Club,0
LaRose for Ohio,0
Kristina Kelly for Senate,0
Kratom Trade Association,0
Krapohl For Council,0
Koreatown Youth and Community Center ,0
Knute for Governor,0
Kirsten Engel for State House. Authorized by Kirsten Engel.,0
Kimberly Ann Cobos-Cawthorne for Council 2018 #1409015,0
KevinMD, LLC,0
Kevin Fisher for Murfreesboro City School Board,0
Katherine Cabaniss Campaign,0
Karen Goh,0
Karen Farrer for Malibu City Council 2018,0
Karen Berg for Kentucky Senate,0
Kanew for Congress,0
Just One Thing,0
Julie Colombero,0
Juan Alfonso Fernandez-Barquin, Republican, for State Representative, District 119,0
Josh Hill for Oregon,0
Josh Gottheimer for Congress,0
Jose Oropeza for Fremont City Council FPPC# 1411136,0
Jonothon Mitchell,0
Jois for Congress Inc. Authorized by Goutam Jois,0
Johnson for Governor,0
Johnathan S. Perkins,0
John Paul Ledesma,0
John Horst Win the Future Congressional Campaign Committee,0
Joey Hood ,0
Joel Chupack for Judge,0
Joe Messerli,0
Joe McBride for State Supreme Court Judge,0
Jobs for Montana PAC Lorna Kuney, Treasurer PO Box 1538 Helena, MT 59624,0
Joann,0
Jewish Democratic Council of America,0
Jesse Gabriel for Assembly 2018 - FPPC ID No. 1400729 and Elect Jesse Gabriel for Assembly 2018 - FPPC ID No.1402641,0
Jerry Hill,                     Treasurer Tim Peterson, 2016 Cedar Crest, Monument, KS 67747,0
Jermaine for House. Authorized by Jennifer Jermaine.,0
Jennifer Plumb Committee to Elect,0
Jeff Triplett for Mayor of Sanford,0
Jeff Sheehy for Supervisor 2018. ,0
Jeanette Largent,0
Jeanette Coffey, Sunrun Solar Consultant,0
Jason Sansone 2018,0
Jamie Kiel Campaign 14696 Hwy 43, Russellville, AL 35653,0
Jacqui Irwin for Assembly 2018 (FPPC ID#1393074),0
Jackie Toledo Campaign for State Representative, District 60 ,0
JENNIFER SANTANA FOR UPPER SAN GABRIEL VALLEY MUNICIPAL WATER BOARD DIRECTOR DIVISION 5 2018 - FPPC: 1410995,0
J Matthew Ash,0
Ipsos,0
International Crane Foundation,0
Indivisible CA-33,0
Independent Institute ,0
Impact Republicans of Kings County,0
Immigrant Report,0
If/When/How: Lawyering for Reproductive Justice,0
Human Rights Campaign PAC,0
Hughes for House.,0
Housley for Senate Committee,0
HomeGrown Tees,0
Happy Head Club,0
Gunnigle For House,0
Green Matters,0
Great America Alliance,0
Grandmothers For Action,0
Godha Manogna,0
God Is On Our Side - Activist,0
Gladson for Council 2018 - FPPC ID #1397503,0
Giving Care ,0
Ginna E. Escobar #1401182,0
Ginafortowncouncil ( pending),0
Giffords.,0
Giffords PAC,0
Gasson for NUSD 2018 FPPC#1410346,0
Gary Walker,0
Gary Siegwarth,0
Garden State CARES,0
GO PATRIOTIC,0
Funk for City Council 2018,0
From Prison Cells to PhD,0
Friends of Tabitha Isner,0
Friends of Steve Mentzer,0
Friends of Sean Quinlan,0
Friends of Ryan Nawrocki, Amanda Williams, Treasurer,0
Friends of Ruth Moton for State Representative,0
Friends of Patrick Young, Nicole Magnani,Treasurer,0
Friends of Nicole Miller for HD82,0
Friends of Nero,0
Friends of Mazie Hirono,0
Friends of Mary Wagner,0
Friends of Lisa Moore,0
Friends of Linda Gross,0
Friends of Laura Sturgeon,0
Friends of John Sarbanes,0
Friends of Jennifer Chapman ,0
Friends of Danny Tippit for District 3,0
Friends of Dana Beyer,0
Friends of Cristin Lassen for TUSD Board Trustee Area 1,0
Friends of Catherine Moy for Fairfield City Council 2018 #1317899,0
Friends of Bob Ferguson (D) ,0
Friends of Ben McAdams,0
Friends of Ben Jealous, Jason Small, Treasurer,0
Friends of Amber Carter,0
FreeVolt Solar,0
Fred Donaldson,0
Frank Strausser,0
Framed Tweets Inc,0
